,value
1998-06-01,-0.5988321459640398
1998-07-01,-0.8001818245420875
1998-08-01,2.29897730433156
1998-09-01,1.1503876193657336
1998-10-01,-1.1925784409492428
1998-11-01,-2.8537590592863404
1998-12-01,-1.9850296778582175
1999-01-01,-0.2804660526798255
1999-02-01,0.6441921376804158
1999-03-01,-0.38643573665159
1999-04-01,-1.7077984242692898
1999-05-01,-1.0643432678858735
1999-06-01,-0.2807300935199594
1999-07-01,1.0352887029352587
1999-08-01,0.4772659587223367
1999-09-01,0.14729461428518129
1999-10-01,0.3154110024282838
1999-11-01,0.6863548129190071
1999-12-01,-0.287397199588831
2000-01-01,-0.7152901377520209
2000-02-01,0.9393973123420367
2000-03-01,1.5775143325001566
2000-04-01,2.882927016963263
2000-05-01,1.4941798228687881
2000-06-01,-0.13206446812278239
2000-07-01,0.08711484098949879
2000-08-01,-1.206737167276847
2000-09-01,0.9805199834263024
2000-10-01,1.4375923397946233
2000-11-01,-1.4505667037318246
2000-12-01,-0.5276126147276123
2001-01-01,-0.6351930657840301
2001-02-01,-0.8789431454671376
2001-03-01,0.38016739799920973
2001-04-01,0.8989237811520877
2001-05-01,-0.5696251467413351
2001-06-01,0.5810107288436385
2001-07-01,-0.877114392182485
2001-08-01,-1.8419085781204712
2001-09-01,-3.0691972159928227
2001-10-01,-1.592178550180547
2001-11-01,1.32565772017106
2001-12-01,3.0356773079514054
2002-01-01,0.539169160847849
2002-02-01,-1.5749740555067968
2002-03-01,-0.5628386964025566
2002-04-01,2.209853716845048
2002-05-01,-0.3874084576722314
2002-06-01,0.11802333676416787
2002-07-01,0.030258282148944465
2002-08-01,-0.8169009829590038
2002-09-01,-0.7066727929039491
2002-10-01,-1.9666381833685282
2002-11-01,0.1961625983960542
2002-12-01,0.9501640581007602
2003-01-01,-0.09661344822577811
2003-02-01,1.2536526524586213
2003-03-01,-0.48851392015721484
2003-04-01,-2.123074480287456
2003-05-01,-1.0768519769268379
2003-06-01,-0.41002004156468885
2003-07-01,0.9077753163701393
2003-08-01,1.8289107832882583
2003-09-01,1.8839236166059405
2003-10-01,-0.17034810074818763
2003-11-01,0.3461316722485077
2003-12-01,-0.5123804109231517
2004-01-01,-0.0250276791192518
2004-02-01,-1.6531120005419884
2004-03-01,-0.04375296259860606
2004-04-01,-1.0487457638712718
2004-05-01,-1.3555129316049697
2004-06-01,-1.0994696847921825
2004-07-01,0.5323094106346663
2004-08-01,0.14925877923715314
2004-09-01,0.01848323695573731
2004-10-01,-0.7814264894902231
2004-11-01,1.5167771796013843
2004-12-01,2.296051087044108
2005-01-01,0.9434746775169713
2005-02-01,-1.3443629053521349
2005-03-01,-0.8976294986936344
2005-04-01,0.98175810146041
2005-05-01,1.914742733869594
2005-06-01,3.6808250803475433
2005-07-01,2.2499900438842384
2005-08-01,-0.29639336413031137
2005-09-01,0.4269621646670275
2005-10-01,0.19173131063833318
2005-11-01,-0.2889815853393901
2005-12-01,-1.0759536060630406
2006-01-01,-2.3631250663725956
2006-02-01,-1.9836952101294716
2006-03-01,-3.500637349426545
2006-04-01,-2.1141695706277153
2006-05-01,0.017968722919202373
2006-06-01,-0.9458506118246945
2006-07-01,-0.6874705885358369
2006-08-01,0.8465448195500478
2006-09-01,0.6691255871439188
2006-10-01,-0.08713307038502685
2006-11-01,1.0998058262016177
2006-12-01,1.4779251634861494
2007-01-01,1.0297282792527176
2007-02-01,0.2761081358786794
2007-03-01,-0.07624838857865499
2007-04-01,0.9858677151212878
2007-05-01,1.8400672256944817
2007-06-01,1.3298450389193845
2007-07-01,1.3647035685985633
2007-08-01,0.002165062180341848
2007-09-01,-1.8832985648714708
2007-10-01,0.25478369007939394
2007-11-01,-0.08428480654220216
2007-12-01,0.250528577334092
2008-01-01,-1.388046269408355
2008-02-01,-0.8141709674977629
2008-03-01,1.105602704377001
2008-04-01,0.6783867356618624
2008-05-01,0.8597988185166201
2008-06-01,0.6072776843392129
2008-07-01,-1.3642440097784643
2008-08-01,-1.7137879496710897
2008-09-01,-0.23947769210328385
2008-10-01,-0.33873159235012495
2008-11-01,-0.8917264305872387
2008-12-01,-1.6743758264767927
2009-01-01,0.20039551857306726
2009-02-01,-2.179181944879357
2009-03-01,0.5897093990491
2009-04-01,2.2617760869600314
2009-05-01,1.7321264302126078
2009-06-01,-0.6027358708709991
2009-07-01,-0.964091433892799
2009-08-01,-0.961072497165241
2009-09-01,1.121733623900013
2009-10-01,1.8587796044504794
2009-11-01,1.0411921039301089
2009-12-01,-0.8383568366059101
2010-01-01,-1.0065600590335944
2010-02-01,-0.9352167936808549
2010-03-01,-0.32786047740480695
2010-04-01,0.4058865638022857
2010-05-01,1.1289604538400548
2010-06-01,-0.1289863833332744
2010-07-01,-0.7837566521267346
2010-08-01,-0.9382022886725967
2010-09-01,0.019015698560999605
2010-10-01,1.1744723944491786
2010-11-01,0.023480177242375166
2010-12-01,0.11225444641066057
2011-01-01,0.7503458729665786
2011-02-01,0.6327836554084286
2011-03-01,-0.397904482673621
2011-04-01,-0.9041192801212166
2011-05-01,0.19684514968289946
2011-06-01,0.8164581910258784
2011-07-01,-0.7865406928876951
2011-08-01,0.5776816701185132
2011-09-01,0.6830306650409664
2011-10-01,-1.5764659470575981
2011-11-01,-0.9753378452977925
2011-12-01,-0.5018770909690016
2012-01-01,0.002990601985497658
2012-02-01,0.6934312692549467
2012-03-01,0.33035488799827195
2012-04-01,0.6316395283006564
2012-05-01,-2.1369448261370234
2012-06-01,-1.019048380073622
2012-07-01,0.4383427157248401
2012-08-01,0.9407095470889854
2012-09-01,1.348099649128561
2012-10-01,0.8116850598534116
2012-11-01,1.8388052714366765
2012-12-01,2.5190616395369294
2013-01-01,1.6689361863085121
2013-02-01,-2.9339212946760274
2013-03-01,-2.3596669610834473
2013-04-01,-0.3476010206228577
2013-05-01,-0.6513293272135454
2013-06-01,0.16057182159345101
2013-07-01,-0.1808846341542013
2013-08-01,1.1473888063467639
2013-09-01,0.8478549668224615
2013-10-01,-1.9438919572647397
2013-11-01,-4.306569160552039
2013-12-01,-2.9811560202605527
2014-01-01,0.9623757604005118
2014-02-01,3.1388819359677322
2014-03-01,-0.4911584187684064
2014-04-01,-0.903162201396771
2014-05-01,-0.20553474371678188
2014-06-01,0.0034713819334720175
2014-07-01,-0.06661193721268444
2014-08-01,-0.9011184211279554
2014-09-01,0.37803147639788465
2014-10-01,1.5791737174543747
2014-11-01,-0.7855743308964656
2014-12-01,-1.3663558242294889
2015-01-01,0.09362845713313073
2015-02-01,0.5052619604953503
2015-03-01,0.7427287185469982
2015-04-01,0.7168394463243395
2015-05-01,1.4315642877534047
2015-06-01,-0.006107227310269359
2015-07-01,-0.8942768166365469
2015-08-01,-0.8966058572714672
2015-09-01,0.5685733059272622
2015-10-01,1.8259429077513398
2015-11-01,0.12388491524839751
2015-12-01,-0.0017948479719895327
2016-01-01,-0.30255127717029906
2016-02-01,-0.09809951837633618
2016-03-01,-0.8275530135614978
2016-04-01,1.6647855828518248
2016-05-01,1.3353296100931782
2016-06-01,-1.7525984037269728
2016-07-01,-0.23068707205883043
2016-08-01,0.41366416066200007
2016-09-01,-1.1628965126202637
2016-10-01,-1.3087945420735818
2016-11-01,-1.5548898995699532
2016-12-01,0.985958917261037
2017-01-01,1.1866663916911828
2017-02-01,1.2150681052189176
2017-03-01,-1.1837011467595464
2017-04-01,-2.9009130879566314
2017-05-01,-1.2105886542817972
2017-06-01,1.654358133482298
2017-07-01,-0.2778687199736294
2017-08-01,-0.2838170624419766
2017-09-01,-0.6061344971374943
2017-10-01,-0.39391290851508587
2017-11-01,1.0816482242687575
2017-12-01,0.4093893605786109
2018-01-01,2.177077034365991
2018-02-01,2.2113259696356655
2018-03-01,-0.3972793928313735
2018-04-01,0.8206395157890112
2018-05-01,0.6605343290422202
2018-06-01,0.7894552492498998
2018-07-01,-0.024437392942594227
2018-08-01,-0.3988814626402032
2018-09-01,-0.4140144429318273
2018-10-01,1.4580015190498223
2018-11-01,-0.02596102842054826
2018-12-01,-0.6586766555201682
2019-01-01,-0.21643238827171585
2019-02-01,-0.42230681184674035
2019-03-01,1.2527223297693217
